203,freegame_cosmic_break,0.0,28.4
204,basegame,0.8,0.0
205,basegame,0.3,0.0
206,basegame,0.4,0.0
207,basegame,0.9,0.0
208,0,0.0,0.0
209,basegame,5.3,0.0
210,0,0.0,0.0
211,basegame,0.8,0.0
212,freegame_cosmic_break,0.0,204.3
213,basegame,2.0,0.0
214,basegame,0.2,0.0
215,basegame,4.5,0.0
216,basegame,1.5,0.0
217,0,0.0,0.0
218,basegame,16.2,0.0
219,basegame,2.8,0.0
220,0,0.0,0.0
221,basegame,3.3,0.0
222,basegame,4.7,0.0
223,0,0.0,0.0
224,basegame,13.1,0.0
225,basegame,0.9,0.0
226,basegame,1.5,0.0
227,basegame,3.4,0.0
228,basegame,0.2,0.0
229,basegame,0.6,0.0
230,0,0.0,0.0
231,freegame_cosmic_break,0.0,247.8
232,0,0.0,0.0
233,basegame,1.2,0.0
234,basegame,66.0,0.0
235,basegame,16.6,0.0
236,basegame,1.4,0.0
237,0,0.0,0.0
238,basegame,0.7,0.0
239,0,0.0,0.0
240,basegame,4.0,0.0
241,basegame,0.3,0.0
242,basegame,4.1,0.0
243,basegame,1.4,0.0
244,0,0.0,0.0
245,basegame,7.8,0.0
246,basegame,0.8,0.0
247,basegame,7.0,0.0
248,basegame,0.9,0.0
249,0,0.0,0.0
250,basegame,5.6,0.0
251,0,0.0,0.0
252,0,0.0,0.0
253,basegame,3.6,0.0
254,0,0.0,0.0
255,basegame,0.8,0.0
256,0,0.0,0.0
257,0,0.0,0.0
258,basegame,0.1,0.0
259,0,0.0,0.0
260,basegame,41.1,0.0
261,basegame,27.2,0.0
262,0,0.0,0.0
263,basegame,2.8,0.0
264,0,0.0,0.0
265,0,0.0,0.0
266,basegame,7.2,0.0
267,basegame,0.5,0.0
268,freegame_cosmic_break,0.1,129.0
269,basegame,14.0,0.0
270,basegame,12.4,0.0
271,0,0.0,0.0
272,0,0.0,0.0
273,basegame,6.1,0.0
274,0,0.0,0.0
275,0,0.0,0.0
276,basegame,16.5,0.0
277,0,0.0,0.0
278,0,0.0,0.0
279,basegame,0.8,0.0
280,freegame_cosmic_break,0.0,1252.7
281,0,0.0,0.0
282,basegame,10.4,0.0
283,basegame,2.1,0.0
284,0,0.0,0.0
285,0,0.0,0.0
286,basegame,3.0,0.0
287,basegame,0.5,0.0
288,0,0.0,0.0
289,freegame_cosmic_break,0.0,6.3
290,0,0.0,0.0
291,0,0.0,0.0
292,basegame,0.3,0.0
293,0,0.0,0.0
294,0,0.0,0.0
295,0,0.0,0.0
296,basegame,2.5,0.0
297,basegame,6.0,0.0
298,basegame,0.2,0.0
299,basegame,0.4,0.0
300,freegame_cosmic_break,0.0,30.3
301,basegame,3.2,0.0
302,basegame,0.1,0.0
303,basegame,0.7,0.0
304,basegame,0.9,0.0
305,basegame,0.1,0.0
306,0,0.0,0.0
307,0,0.0,0.0
308,0,0.0,0.0
309,0,0.0,0.0
310,0,0.0,0.0
311,basegame,0.3,0.0
312,0,0.0,0.0
313,0,0.0,0.0
314,freegame_cosmic_break,0.0,14.0
315,basegame,1.0,0.0
316,freegame_cosmic_break,0.0,2890.5
317,0,0.0,0.0
318,basegame,0.9,0.0
319,basegame,1.4,0.0
320,0,0.0,0.0
321,basegame,13.6,0.0
322,basegame,4.5,0.0
323,basegame,3.0,0.0
324,0,0.0,0.0
325,basegame,1.7,0.0
326,basegame,29.2,0.0
327,basegame,56.8,0.0
328,freegame_cosmic_break,0.0,11.0
329,0,0.0,0.0
330,basegame,7.4,0.0
331,basegame,0.4,0.0
332,basegame,0.6,0.0
333,0,0.0,0.0
334,freegame_cosmic_break,0.0,2174.2
335,0,0.0,0.0
336,basegame,32.5,0.0
337,basegame,0.4,0.0
338,0,0.0,0.0
339,0,0.0,0.0
340,freegame_cosmic_break,0.0,0.3
341,basegame,0.8,0.0
342,basegame,0.2,0.0
343,0,0.0,0.0
344,0,0.0,0.0
345,basegame,3.2,0.0
346,basegame,0.3,0.0
347,0,0.0,0.0
348,0,0.0,0.0
349,0,0.0,0.0
350,basegame,0.8,0.0
351,basegame,1.5,0.0
352,0,0.0,0.0
353,basegame,0.5,0.0
354,0,0.0,0.0
355,basegame,0.4,0.0
356,basegame,0.1,0.0
357,0,0.0,0.0
358,basegame,0.5,0.0
359,0,0.0,0.0
360,freegame_cosmic_break,0.0,85.8
361,0,0.0,0.0
362,basegame,0.5,0.0
363,basegame,1.5,0.0
364,0,0.0,0.0
365,0,0.0,0.0
366,basegame,1.0,0.0
367,basegame,8.4,0.0
368,freegame_cosmic_break,0.0,3390.7
369,0,0.0,0.0
370,freegame_cosmic_break,0.0,0.2
371,0,0.0,0.0
372,freegame_cosmic_break,0.0,7.1
373,basegame,2.3,0.0
374,basegame,0.3,0.0
375,basegame,3.0,0.0
376,0,0.0,0.0
377,0,0.0,0.0
378,basegame,0.4,0.0
379,basegame,0.4,0.0
380,0,0.0,0.0
381,basegame,1.0,0.0
382,basegame,0.2,0.0
383,basegame,0.2,0.0
384,basegame,1.5,0.0
385,0,0.0,0.0
386,basegame,5.0,0.0
387,0,0.0,0.0
388,basegame,1.2,0.0
389,basegame,1.8,0.0
390,basegame,0.8,0.0
391,basegame,0.1,0.0
392,basegame,0.4,0.0
393,basegame,0.8,0.0
394,basegame,0.5,0.0
395,0,0.0,0.0
396,basegame,0.2,0.0
397,basegame,4.5,0.0
398,0,0.0,0.0
399,0,0.0,0.0
400,0,0.0,0.0
401,0,0.0,0.0
402,0,0.0,0.0
403,basegame,0.6,0.0
404,0,0.0,0.0
405,0,0.0,0.0
406,basegame,1.5,0.0
407,basegame,0.6,0.0
408,basegame,3.2,0.0
409,0,0.0,0.0
410,basegame,1.9,0.0
411,basegame,1.4,0.0
412,basegame,3.1,0.0
413,0,0.0,0.0
414,basegame,3.8,0.0
415,basegame,3.7,0.0
416,freegame_cosmic_break,0.0,5000
417,0,0.0,0.0
418,basegame,12.8,0.0
419,0,0.0,0.0
420,basegame,2.8,0.0
421,basegame,3.4,0.0
422,freegame_cosmic_break,0.0,3115.9
423,freegame_cosmic_break,0.0,44.4
424,0,0.0,0.0
425,basegame,1.5,0.0
426,basegame,3.1,0.0
427,basegame,10.2,0.0
428,basegame,1.2,0.0
429,basegame,0.6,0.0
430,0,0.0,0.0
431,basegame,2.5,0.0
432,0,0.0,0.0
433,basegame,0.3,0.0
434,0,0.0,0.0
435,0,0.0,0.0
436,freegame_cosmic_break,0.0,5000
437,basegame,19.4,0.0
438,0,0.0,0.0
439,basegame,15.0,0.0
440,basegame,22.1,0.0
441,0,0.0,0.0
442,basegame,2.5,0.0
